
Место	Название фильма	Год	Режиссёр	Жанры по версии IMDb
140	Всё о Еве	1950	Джозеф Лео Манкевич	фильм про шоу-бизнес, драма
141	Парк юрского периода	1993	Стивен Спилберг	фильм о динозаврах, фильм о приключениях в джунглях, боевик, приключение, научная фантастика, триллер
142	Нефть	2007	Пол Томас Андерсон	эпический фильм, историческая драма, психологическая драма, фильм-трагедия, драма
143	Казино	1995	Мартин Скорсезе	докудрама, эпический фильм, гангстерский фильм, тру-крайм, детектив, драма
144	Шестое чувство	1999	М. Найт Шьямалан	психологическая драма, психологический триллер, мистический триллер, драма, фильм-тайна, триллер
145	Ран	1985	Акира Куросава	фильм о самураях, фильм-трагедия, киноэпопея о войне, боевик, драма, военный фильм
146	Топ Ган: Мэверик	2022	Джозеф Косински	эпический боевик, эпический фильм, боевик, драма
147	Старикам тут не место	2007	Братья Коэн	современный вестерн, фильм о серийном убийце[нем.], детектив, драма, триллер
148	Нечто	1982	Джон Карпентер	фильм о вторжении пришельцев, боди-хоррор, фильм о монстрах, фильм ужасов о сверхъестественном, фильм-трагедия, хоррор, фильм-тайна, научная фантастика
149	Лабиринт фавна	2006	Гильермо дель Торо	фильм про взросление, тёмное фэнтези, фильм-сказка, историческая драма, мистический фильм, подростковый фильм-фэнтези, фильм-трагедия, драма, фэнтезийный фильм, военный фильм
150	Непрощённый	1992	Клинт Иствуд	историческая драма, фильм-трагедия, драма, вестерн
151	Игры разума	2001	Рон Ховард	докудрама, историческая драма, психологическая драма, байопик, драма, фильм-тайна
152	Убить Билла. Фильм 1	2003	Квентин Тарантино	фильм о боевых искусствах, фильм о войне-одиночке, боевик, детектив, триллер
153	Сокровища Сьерра-Мадре	1948	Джон Хьюстон	фильм-трагедия, приключение, драма, вестерн
154	Пленницы	2013	Дени Вильнёв	психологический триллер, мистический триллер, детектив, драма, фильм-тайна, триллер
155	Телохранитель	1961	Акира Куросава	фильм о войне-одиночке, историческая драма, фильм о самураях, боевик, драма, триллер
156	В поисках Немо	2003	Эндрю Стэнтон	фильм о приключениях животных, приятельская комедия, компьютерная анимация, фильм про поиск, фильм о морском приключении, приключение, мультфильм, кинокомедия, семейный фильм
157	Большой побег	1963	Джон Стёрджес	историческая драма, тюремная драма, киноэпопея о войне, приключение, драма, триллер, военный фильм
